"Recipient","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","type"
"    Far East Asia, Total","91.654 ","44.547 ","99.868 ","129.138 ","123.155 ","136.049 ","141.715 ","175.748 ","168.353 ","204.743 ","234.949 ","244.709 ","319.299 ","311.076 ","261.424 ","188.316 ","237.906 ","209.113 ","210.943 ","165.475 ","173.783 ","112.371 ","reproductive health"
"      Brunei Darussalam",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Cambodia","56.382 ","18.513 ","13.757 ","17.609 ","11.532 ","9.710 ","13.720 ","34.474 ","64.602 ","38.722 ","35.239 ","34.906 ","44.540 ","35.694 ","49.770 ","50.035 ","41.243 ","37.984 ","36.240 ","38.044 ","35.317 ","23.675 ","reproductive health"
"      China (People's Republic of)",,"7.192 ","0.186 ","37.382 ","33.507 ","3.453 ","21.249 ","4.064 ","9.397 ","80.152 ","12.164 ","48.482 ","88.459 ","25.564 ","28.526 ","12.682 ","15.007 ","10.517 ","5.111 ","1.431 ","1.239 ","0.775 ","reproductive health"
"      Democratic People's Republic of Korea",,,,,,,,,"0.003 ",,"0.015 ",,,,,"0.006 ",,,,,,,"reproductive health"
"      Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Indonesia","11.440 ","1.225 ","26.812 ","28.742 ","42.588 ","66.559 ","65.389 ","28.954 ","31.722 ","34.041 ","94.477 ","27.807 ","43.493 ","113.859 ","21.861 ","22.007 ","52.593 ","63.222 ","51.402 ","43.155 ","59.625 ","18.337 ","reproductive health"
"      Korea",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Lao People's Democratic Republic","0.111 ","0.686 ","0.079 ","0.341 ","0.205 ","0.971 ","1.244 ","1.443 ","1.315 ","2.033 ","0.087 ","0.012 ","1.969 ","1.887 ","2.830 ","3.019 ","4.766 ","2.546 ","2.395 ","4.452 ","7.325 ","1.154 ","reproductive health"
"      Macau, China",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Malaysia","0.032 ",,,"0.005 ",,,"0.385 ","0.436 ","0.016 ","0.015 ","0.011 ","0.012 ",,"0.012 ","0.008 ","0.013 ",,"0.023 ","0.014 ",,,"0.096 ","reproductive health"
"      Mongolia",,,,"0.788 ",,"0.500 ","0.034 ",,"0.042 ","1.347 ","0.000 ","0.019 ","0.757 ","0.809 ","0.457 ","0.545 ","0.387 ","0.424 ","0.030 ","0.208 ","0.131 ","0.426 ","reproductive health"
"      Philippines","17.245 ","10.421 ","20.116 ","40.023 ","29.382 ","36.442 ","29.984 ","33.625 ","33.580 ","35.131 ","33.378 ","46.887 ","24.853 ","40.959 ","26.244 ","14.923 ","33.220 ","29.807 ","42.377 ","21.668 ","21.092 ","23.646 ","reproductive health"
"      Singapore",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Chinese Taipei",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Thailand","0.881 ","3.497 ","0.255 ","1.233 ","2.142 ","0.497 ","0.702 ","11.557 ","7.919 ","0.332 ","7.333 ","6.405 ","16.647 ","9.192 ","7.509 ","9.207 ","9.122 ","6.632 ","5.460 ","2.014 ","1.523 ","1.125 ","reproductive health"
"      Timor-Leste",,,,,,,"0.168 ","0.016 ","0.149 ","0.073 ","0.003 ","0.360 ","3.398 ","3.054 ","4.384 ","1.875 ","6.135 ","7.788 ","8.994 ","6.615 ","9.320 ","7.122 ","reproductive health"
"      Viet Nam","5.562 ","3.013 ","37.835 ","2.321 ","3.478 ","17.511 ","7.828 ","59.913 ","19.578 ","12.698 ","50.726 ","37.816 ","64.338 ","68.154 ","112.888 ","72.641 ","73.161 ","46.672 ","53.915 ","40.928 ","31.072 ","29.945 ","reproductive health"
"      Far East Asia, regional",,,"0.828 ","0.693 ","0.320 ","0.407 ","1.013 ","1.265 ","0.030 ","0.201 ","1.516 ","42.002 ","30.845 ","11.893 ","6.947 ","1.363 ","2.272 ","3.497 ","5.007 ","6.958 ","7.137 ","6.070 ","reproductive health"
"    South & Central Asia, Total","96.135 ","72.622 ","135.141 ","272.165 ","130.727 ","225.836 ","148.010 ","161.912 ","227.918 ","252.530 ","382.086 ","613.959 ","1,008.692 ","639.430 ","437.145 ","400.093 ","434.861 ","523.619 ","363.083 ","474.940 ","462.751 ","329.730 ","reproductive health"
"      Afghanistan",,"0.098 ","0.688 ","0.474 ","1.638 ",,"1.275 ","3.005 ","27.902 ","11.188 ","3.026 ","1.909 ","100.857 ","184.049 ","56.304 ","87.257 ","148.580 ","133.062 ","24.798 ","172.012 ","69.611 ","46.547 ","reproductive health"
"      Armenia",,"0.025 ",,,"3.131 ","3.328 ","2.664 ","2.617 ","1.583 ","2.728 ","2.125 ","1.714 ","7.409 ","5.637 ","3.610 ","2.783 ","3.640 ","0.352 ","0.303 ","3.080 ","2.651 ",,"reproductive health"
"      Azerbaijan",,,,,"3.360 ","6.889 ","2.395 ","0.716 ","2.915 ","6.416 ","0.488 ","0.901 ","4.470 ","1.268 ","3.977 ","1.141 ","4.421 ",,,,"0.012 ","0.028 ","reproductive health"
"      Bangladesh","30.407 ","2.648 ","56.100 ","197.677 ","42.167 ","51.067 ","44.916 ","56.375 ","56.383 ","62.939 ","49.114 ","78.871 ","62.685 ","40.852 ","46.119 ","39.303 ","57.408 ","133.560 ","90.668 ","95.756 ","81.827 ","67.950 ","reproductive health"
"      Bhutan",,,,,,,,,"0.008 ",,,,,"0.001 ","0.010 ","0.015 ","0.056 ","0.014 ","0.017 ",,"0.021 ",,"reproductive health"
"      Georgia",,,,,"0.549 ","4.855 ","1.890 ","1.327 ","2.092 ","5.259 ","4.673 ","2.093 ","6.898 ","4.800 ","9.232 ","11.168 ","4.391 ","6.097 ","3.143 ","1.234 ","0.451 ","0.399 ","reproductive health"
"      India","47.327 ","28.854 ","21.307 ","30.574 ","39.178 ","98.231 ","39.030 ","43.870 ","26.765 ","81.151 ","204.846 ","451.868 ","664.095 ","117.536 ","155.990 ","83.169 ","71.450 ","64.588 ","113.705 ","54.051 ","69.536 ","76.656 ","reproductive health"
"      Kazakhstan",,,"0.289 ","0.034 ","3.293 ","4.334 ","5.643 ","1.875 ","2.418 ","3.757 ","2.366 ","1.441 ","3.551 ","1.262 ","0.489 ","1.429 ","0.739 ","0.335 ","0.005 ","0.004 ","0.243 ",,"reproductive health"
"      Kyrgyzstan","2.110 ",,,"0.026 ","0.660 ","9.520 ","1.639 ","4.262 ","9.681 ","11.884 ","1.154 ","1.569 ","3.528 ","1.716 ","0.729 ","8.279 ","13.953 ","2.009 ","0.958 ","0.074 ","0.150 ",,"reproductive health"
"      Maldives",,,,,,,,,,,,,,"0.001 ",,,"0.082 ","0.114 ","0.112 ",,,,"reproductive health"
"      Myanmar",,"0.503 ","0.069 ","1.705 ","5.619 ","4.082 ","0.798 ","5.865 ","24.118 ","2.524 ","0.650 ","0.151 ","3.152 ","6.982 ","3.270 ","7.294 ","7.070 ","19.147 ","20.805 ","6.891 ","46.979 ","15.612 ","reproductive health"
"      Nepal","8.809 ","10.498 ","30.177 ","30.977 ","17.793 ","13.053 ","25.414 ","28.909 ","50.549 ","30.054 ","68.988 ","17.589 ","19.829 ","37.449 ","32.484 ","22.515 ","28.507 ","10.994 ","22.361 ","56.793 ","60.261 ","33.852 ","reproductive health"
"      Pakistan","2.101 ","21.106 ","25.415 ","8.783 ","6.934 ","14.338 ","6.233 ","1.317 ","14.703 ","21.459 ","33.991 ","44.967 ","112.880 ","227.180 ","115.027 ","79.027 ","68.358 ","96.370 ","73.118 ","68.833 ","109.563 ","68.374 ","reproductive health"
"      Sri Lanka","1.867 ","0.159 ","1.097 ","0.912 ",,"0.507 ","0.478 ","0.268 ","0.100 ","0.612 ","0.893 ","0.904 ","0.459 ","0.102 ","0.112 ","0.099 ","0.154 ","33.761 ","0.289 ","0.027 ","0.355 ","0.641 ","reproductive health"
"      Tajikistan",,,,"0.029 ","0.813 ","1.071 ","0.825 ","1.310 ","1.457 ","3.200 ","2.698 ","2.030 ","2.796 ","3.551 ","2.323 ","6.138 ","2.807 ","2.314 ","4.311 ","4.580 ","2.478 ","7.935 ","reproductive health"
"      Turkmenistan",,,,,"2.491 ","1.544 ","0.216 ","0.394 ","0.528 ","0.485 ","0.081 ","0.254 ","0.888 ","0.847 ","0.094 ","1.176 ","0.011 ","0.229 ",,"0.206 ","0.354 ",,"reproductive health"
"      Uzbekistan","3.516 ","3.245 ",,"0.059 ","2.965 ","3.565 ","6.751 ","8.771 ","2.453 ","2.988 ","2.758 ","1.593 ","2.728 ","1.249 ","0.403 ","34.793 ","0.061 ","0.263 ","0.240 ","0.019 ","0.041 ","0.150 ","reproductive health"
"      Central Asia, regional",,,,,,,,,,,"0.004 ","4.556 ","3.168 ","4.367 ","6.859 ","14.351 ","23.109 ","19.709 ","7.575 ","10.814 ","17.915 ","11.564 ","reproductive health"
"      South Asia, regional",,,,,,,,,,,"0.005 ","0.412 ","0.792 ","0.109 ","0.114 ","0.043 ","0.056 ","0.094 ","0.032 ","0.564 ","0.302 ","0.024 ","reproductive health"
"      South & Central Asia, regional",,"5.487 ",,"0.917 ","0.137 ","9.453 ","7.843 ","1.030 ","4.262 ","5.887 ","4.226 ","1.138 ","8.506 ","0.473 ",,"0.110 ","0.008 ","0.606 ","0.642 ",,,,"reproductive health"
"    Middle East, Total","12.556 ","0.585 ","9.241 ","14.884 ","21.179 ","13.440 ","38.929 ","60.675 ","47.280 ","19.399 ","32.850 ","14.260 ","57.041 ","90.152 ","82.644 ","53.294 ","95.787 ","82.672 ","45.883 ","52.069 ","19.385 ","57.188 ","reproductive health"
"      Bahrain",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Iran",,,,,,,,,,"0.067 ","0.009 ",,,"0.043 ",,"0.071 ",,,,,,,"reproductive health"
"      Iraq",,,,,,,,"0.003 ","0.015 ",,"0.027 ",,"0.065 ","0.140 ","0.118 ","0.139 ","23.834 ","18.532 ","0.034 ",,"0.153 ","2.645 ","reproductive health"
"      Israel",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Jordan","7.396 ",,"7.741 ","14.242 ","9.741 ","11.739 ","24.169 ","28.204 ","41.835 ","0.111 ","0.100 ","0.349 ","24.469 ","51.086 ","36.369 ","21.934 ","50.108 ","36.465 ","15.677 ","23.228 ","12.192 ","36.600 ","reproductive health"
"      Kuwait",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Lebanon",,,,,,"0.406 ","0.996 ","0.531 ","0.078 ","0.075 ","0.016 ",,"0.351 ","1.895 ","0.205 ","2.490 ","0.823 ","0.957 ","0.776 ","0.306 ","0.286 ","2.947 ","reproductive health"
"      Oman",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Qatar",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Saudi Arabia",,,,,,,,"0.044 ",,,,,,,,,,,,,,,"reproductive health"
"      Syrian Arab Republic",,,,,,,,,"0.976 ",,"0.172 ","0.625 ","0.787 ","0.820 ","0.466 ","1.327 ","0.418 ","0.006 ","0.243 ","1.050 ","0.722 ",,"reproductive health"
"      United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      West Bank and Gaza Strip",,"0.585 ","0.282 ","0.526 ","2.922 ","1.184 ","6.897 ","29.514 ","0.929 ","0.701 ","2.622 ","0.726 ","4.410 ","12.558 ","20.488 ","13.173 ","4.507 ","9.046 ","3.180 ","2.430 ","3.069 ","5.189 ","reproductive health"
"      Yemen","5.161 ",,"1.218 ","0.025 ","8.516 ","0.112 ","6.867 ","2.183 ","3.309 ","18.444 ","28.613 ","12.454 ","26.960 ","23.421 ","24.764 ","13.527 ","15.979 ","17.661 ","25.948 ","25.055 ","2.770 ","9.804 ","reproductive health"
"      Middle East, regional",,,,"0.091 ",,,,"0.197 ","0.138 ",,"1.291 ","0.106 ",,"0.190 ","0.234 ","0.633 ","0.118 ","0.006 ","0.025 ",,"0.193 ","0.003 ","reproductive health"
"    Asia, regional","0.660 ","0.302 ","56.716 ","8.020 ","24.954 ","12.983 ","14.800 ","9.408 ","17.434 ","9.380 ","28.822 ","10.335 ","15.320 ","10.640 ","11.194 ","6.545 ","8.152 ","6.249 ","6.681 ","13.944 ","27.133 ","39.675 ","reproductive health"
"  Oceania, Total","0.970 ","0.203 ","2.003 ","9.446 ","80.768 ","5.359 ","0.453 ","14.523 ","17.909 ","2.225 ","4.423 ","41.218 ","3.580 ","41.360 ","16.863 ","46.292 ","44.054 ","56.860 ","65.869 ","74.907 ","55.884 ","49.101 ","reproductive health"
"    Cook Islands",,,,,,,,,,,,,,"0.011 ",,,,,"0.017 ",,"0.235 ",,"reproductive health"
"    Fiji",,,,,,,,"0.342 ","0.051 ","0.099 ","0.176 ","0.052 ",,"0.418 ",,,"0.015 ","0.097 ",,"0.007 ","0.352 ","0.019 ","reproductive health"
"    French Polynesia",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"    Kiribati",,,,,,,,,"0.011 ","0.011 ","0.052 ",,"0.004 ","0.384 ","0.038 ","0.008 ","0.787 ","0.092 ","0.172 ","0.007 ","2.121 ",,"reproductive health"
"    Marshall Islands",,,,,,,,,,,,"0.013 ",,"0.021 ","0.012 ","0.012 ",,,,"2.004 ","0.116 ","0.016 ","reproductive health"
"    Micronesia",,,,,,,,,,"0.008 ",,,,,,,,,"0.604 ","0.227 ","0.094 ",,"reproductive health"
"    Nauru",,,,,,,,,,,,,,,,,"0.003 ",,,"0.021 ","0.094 ",,"reproductive health"
"    New Caledonia",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"    Niue",,,,,,,,,,,"0.090 ","0.024 ",,"0.052 ",,,,,,,"0.094 ",,"reproductive health"
"    Northern Mariana Islands",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"    Palau",,,,,,,,,,,,,,,,,,,,,"0.094 ",,"reproductive health"
"    Papua New Guinea",,,"0.307 ","8.143 ","80.242 ","1.615 ",,"13.053 ","1.719 ","1.265 ","0.961 ","33.413 ","2.234 ","3.792 ","13.710 ","45.719 ","37.562 ","49.976 ","54.362 ","66.920 ","45.316 ","45.857 ","reproductive health"
"    Samoa",,,,"0.270 ",,,,,"0.009 ","0.068 ","0.137 ",,"0.004 ",,,"0.019 ","0.026 ","0.284 ","0.150 ",,"0.235 ","0.433 ","reproductive health"
"    Solomon Islands",,,,"0.043 ",,,,,"0.009 ","0.058 ","0.137 ","0.974 ","0.025 ","0.092 ","2.075 ","0.079 ","0.394 ","1.324 ","0.891 ",,"6.190 ","0.743 ","reproductive health"
"    Tokelau",,,,,,,,,,,,,,,,,,,,,"0.094 ",,"reproductive health"
"    Tonga",,,,,,,,,"0.009 ","0.098 ","0.176 ","0.096 ",,"0.125 ","0.008 ",,,,,,"0.235 ",,"reproductive health"
"    Tuvalu",,,,,,,,,"0.000 ",,,,,,,,"0.002 ","0.009 ",,,"0.235 ",,"reproductive health"
"    Vanuatu",,"0.062 ",,,,,,"0.027 ","0.009 ","0.057 ","0.137 ",,"0.031 ","1.394 ","0.406 ",,"0.009 ","0.816 ","0.006 ","0.004 ","0.252 ",,"reproductive health"
"    Wallis and Futuna",,,,,,,,,,,,,,,"0.011 ",,,,,,"0.094 ",,"reproductive health"
"    Oceania, regional","0.970 ","0.141 ","1.696 ","0.990 ","0.526 ","3.744 ","0.453 ","1.102 ","16.090 ","0.561 ","2.560 ","6.645 ","1.281 ","35.070 ","0.603 ","0.455 ","5.256 ","4.262 ","9.667 ","5.717 ","0.032 ","2.032 ","reproductive health"
"Developing Countries, Total","1,887.064 ","2,590.074 ","2,718.569 ","2,643.367 ","4,203.420 ","4,137.286 ","4,364.264 ","5,310.878 ","6,218.313 ","7,181.142 ","5,497.770 ","8,490.103 ","7,815.876 ","8,134.951 ","8,858.187 ","8,801.779 ","7,673.059 ","7,472.728 ","7,262.895 ","8,083.619 ","8,058.035 ","8,661.512 ","education"
"  Europe, Total","13.433 ","108.032 ","62.751 ","72.038 ","203.395 ","229.788 ","273.598 ","232.941 ","320.782 ","242.518 ","166.957 ","350.686 ","358.921 ","422.534 ","412.579 ","410.908 ","375.737 ","385.173 ","351.657 ","368.589 ","367.037 ","611.067 ","education"
"    Albania","8.944 ","2.307 ","1.815 ","5.162 ","13.071 ","20.542 ","19.085 ","14.112 ","93.340 ","26.982 ","20.627 ","25.398 ","40.414 ","58.307 ","54.597 ","52.354 ","51.916 ","49.797 ","22.829 ","29.326 ","25.315 ","33.157 ","education"
"    Belarus",,,,,,,,,,,"4.975 ","17.495 ","15.125 ","19.058 ","19.210 ","20.734 ","14.653 ","18.917 ","21.750 ","21.808 ","23.940 ","24.069 ","education"
"    Bosnia and Herzegovina","1.831 ","56.595 ","10.098 ","12.517 ","22.330 ","21.122 ","36.790 ","37.338 ","27.725 ","28.535 ","20.296 ","29.509 ","28.786 ","36.680 ","28.971 ","25.010 ","34.824 ","29.336 ","29.073 ","38.948 ","31.025 ","33.793 ","education"
"    Croatia","0.100 ","7.550 ","6.894 ","6.968 ","20.162 ","17.887 ","15.531 ","12.129 ","13.111 ","12.304 ","6.432 ","13.577 ","14.050 ","18.052 ","15.309 ","16.535 ",,,,,,,"education"
"    Cyprus","0.236 ","0.623 ",,,,,,,,,,,,,,,,,,,,,"education"
"    Former Yugoslav Republic of Macedonia","0.040 ","0.438 ","2.682 ","7.760 ","8.373 ","18.444 ","25.963 ","8.058 ","23.457 ","10.329 ","8.405 ","15.550 ","19.596 ","15.439 ","17.941 ","17.174 ","11.975 ","14.626 ","16.098 ","11.308 ","12.498 ","13.408 ","education"
"    Gibraltar",,,,,"0.006 ",,,,,,,,,,,,,,,,,,"education"
"    Kosovo",,,,,,,,,,,,,,,"33.076 ","13.460 ","13.280 ","19.270 ","18.913 ","31.280 ","20.458 ","16.991 ","education"
"    Malta","0.509 ","0.304 ","0.198 ","0.286 ","0.498 ","0.485 ","0.677 ","2.256 ",,,,,,,,,,,,,,,"education"
"    Moldova",,,"0.125 ","0.550 ","2.394 ","2.796 ","3.490 ","6.013 ","6.122 ","7.516 ","5.308 ","14.796 ","13.311 ","12.173 ","12.477 ","13.756 ","13.598 ","14.158 ","12.388 ","12.730 ","14.129 ","10.789 ","education"
"    Montenegro",,,,,,,,,,,,"4.000 ","7.205 ","2.823 ","3.678 ","2.984 ","3.269 ","4.679 ","3.752 ","3.466 ","3.768 ","3.311 ","education"
"    Serbia","0.606 ","0.718 ","7.364 ","10.948 ","32.698 ","47.556 ","49.592 ","47.204 ","39.996 ","40.809 ","23.768 ","36.996 ","45.720 ","61.049 ","30.508 ","23.462 ","31.881 ","30.150 ","35.811 ","26.698 ","29.236 ","42.153 ","education"
"    Slovenia","0.304 ","5.524 ","3.850 ","4.477 ","5.770 ","5.637 ","5.611 ","4.997 ",,,,,,,,,,,,,,,"education"
"    States Ex-Yugoslavia unspecified","0.536 ","7.671 ","0.513 ","0.022 ","0.449 ","0.175 ","6.244 ","2.528 ","10.945 ","2.753 ","0.658 ","2.343 ","1.334 ","3.165 ","1.944 ",,"0.860 ","0.091 ",,"0.022 ","0.193 ","0.122 ","education"
"    Turkey","0.328 ","25.621 ","28.310 ","22.394 ","97.512 ","79.335 ","80.765 ","82.934 ","100.534 ","100.452 ","50.352 ","108.964 ","111.280 ","115.121 ","111.689 ","109.434 ","114.848 ","125.713 ","109.409 ","107.501 ","104.086 ","336.398 ","education"
"    Ukraine",,,,,,,,,,,"17.466 ","61.479 ","51.620 ","67.777 ","66.971 ","71.724 ","72.542 ","70.141 ","71.186 ","74.062 ","92.125 ","91.654 ","education"
"    Europe, regional",,"0.683 ","0.901 ","0.954 ","0.132 ","15.810 ","29.849 ","15.373 ","5.551 ","12.839 ","8.670 ","20.579 ","10.480 ","12.889 ","16.209 ","44.281 ","12.091 ","8.295 ","10.446 ","11.441 ","10.264 ","5.223 ","education"
"  Africa, Total","667.441 ","856.021 ","904.938 ","1,280.219 ","1,633.173 ","1,929.782 ","1,949.990 ","2,468.998 ","2,610.554 ","2,332.937 ","2,224.625 ","3,192.656 ","3,031.780 ","2,701.181 ","3,357.275 ","2,991.364 ","2,261.237 ","2,400.298 ","2,323.217 ","2,456.239 ","2,672.104 ","2,825.796 ","education"
"    North of Sahara, Total","49.834 ","167.331 ","93.176 ","100.069 ","459.702 ","502.031 ","551.240 ","610.290 ","643.049 ","677.028 ","640.231 ","768.125 ","683.635 ","589.113 ","577.694 ","583.063 ","537.784 ","504.704 ","568.645 ","618.671 ","689.032 ","552.514 ","education"
"      Algeria","5.359 ","3.627 ","4.662 ","15.245 ","95.760 ","91.837 ","94.244 ","104.582 ","135.468 ","162.748 ","163.550 ","162.897 ","153.137 ","106.774 ","109.068 ","111.015 ","115.904 ","113.719 ","110.957 ","102.413 ","92.985 ","102.303 ","education"
"      Egypt","41.080 ","64.261 ","22.972 ","35.808 ","125.729 ","109.241 ","160.265 ","145.352 ","113.664 ","73.471 ","104.943 ","172.142 ","134.996 ","146.334 ","101.256 ","107.457 ","116.460 ","82.419 ","82.481 ","112.141 ","140.922 ","151.218 ","education"
"      Libya","0.221 ","0.286 ","0.354 ","0.411 ","3.083 ",,,,,,"3.261 ","6.428 ","5.518 ","5.678 ","6.040 ","7.948 ","7.934 ","8.876 ","8.403 ","8.174 ","11.922 ","7.656 ","education"
"      Morocco","1.649 ","51.731 ","51.198 ","30.540 ","176.936 ","194.893 ","226.849 ","283.323 ","272.715 ","352.409 ","211.400 ","283.408 ","274.179 ","220.438 ","249.176 ","247.046 ","179.675 ","187.656 ","265.789 ","251.725 ","205.759 ","198.615 ","education"
"      Tunisia","1.519 ","46.500 ","13.968 ","17.438 ","57.533 ","94.985 ","68.461 ","74.616 ","119.928 ","88.223 ","153.089 ","113.210 ","110.738 ","98.071 ","108.916 ","102.708 ","115.171 ","100.004 ","88.630 ","139.201 ","123.726 ","92.001 ","education"
"      North of Sahara, regional","0.006 ","0.925 ","0.022 ","0.628 ","0.661 ","11.074 ","1.420 ","2.417 ","1.274 ","0.178 ","3.988 ","30.040 ","5.066 ","11.818 ","3.237 ","6.889 ","2.639 ","12.031 ","12.384 ","5.018 ","113.718 ","0.721 ","education"
"    South of Sahara, Total","591.484 ","675.401 ","783.464 ","1,158.465 ","1,082.053 ","1,401.717 ","1,362.002 ","1,807.163 ","1,931.270 ","1,614.459 ","1,558.927 ","2,388.553 ","2,292.260 ","2,067.605 ","2,765.392 ","2,228.778 ","1,663.128 ","1,849.143 ","1,735.415 ","1,795.980 ","1,919.040 ","2,175.995 ","education"
"      Angola","24.484 ","4.570 ","6.544 ","7.719 ","16.538 ","17.015 ","22.329 ","29.661 ","23.211 ","15.929 ","33.315 ","37.270 ","25.640 ","13.658 ","21.097 ","60.317 ","20.780 ","10.135 ","42.385 ","18.772 ","22.143 ","16.329 ","education"
"      Benin","25.036 ","20.423 ","29.924 ","19.433 ","24.609 ","23.859 ","31.009 ","30.461 ","44.951 ","33.795 ","59.197 ","61.583 ","48.623 ","51.115 ","40.288 ","53.924 ","37.127 ","48.964 ","35.994 ","33.728 ","29.568 ","58.709 ","education"
"      Botswana","6.224 ","4.342 ","0.911 ","0.898 ","3.629 ","1.384 ","0.928 ","1.021 ","1.447 ","0.933 ","0.908 ","1.588 ","1.595 ","2.026 ","2.922 ","1.466 ","2.364 ","1.396 ","1.184 ","1.027 ","1.810 ","2.281 ","education"
"      Burkina Faso","10.353 ","12.982 ","26.585 ","27.056 ","42.029 ","23.402 ","29.734 ","58.913 ","35.545 ","63.572 ","73.644 ","146.279 ","57.176 ","57.438 ","85.257 ","98.390 ","46.448 ","71.552 ","38.924 ","56.083 ","55.585 ","58.384 ","education"
"      Burundi","3.936 ","2.007 ","0.642 ","1.532 ","2.951 ","1.666 ","2.109 ","4.120 ","3.881 ","4.619 ","7.685 ","17.348 ","11.855 ","51.670 ","14.876 ","12.672 ","23.839 ","20.925 ","22.462 ","7.996 ","33.938 ","6.092 ","education"
"      Cabo Verde","2.502 ","6.076 ","10.861 ","4.721 ","20.752 ","14.766 ","17.673 ","28.624 ","60.620 ","34.232 ","38.039 ","28.875 ","29.925 ","36.924 ","29.218 ","30.570 ","18.703 ","19.687 ","17.910 ","19.143 ","13.309 ","13.229 ","education"
"      Cameroon","11.583 ","0.421 ","24.373 ","24.547 ","70.875 ","70.740 ","86.725 ","94.732 ","106.612 ","102.961 ","43.736 ","116.807 ","107.633 ","122.747 ","96.023 ","85.750 ","90.736 ","94.459 ","85.808 ","80.075 ","81.338 ","84.277 ","education"
"      Central African Republic","3.066 ","0.007 ","5.569 ","9.254 ","6.975 ","8.421 ","7.491 ","14.325 ","7.961 ","7.610 ","4.053 ","5.734 ","6.366 ","5.660 ","17.191 ","6.200 ","5.157 ","10.670 ","3.763 ","3.234 ","3.998 ","3.966 ","education"
"      Chad","28.679 ","11.706 ","8.218 ","8.384 ","8.486 ","8.651 ","6.576 ","10.714 ","7.322 ","8.644 ","3.100 ","6.389 ","9.183 ","20.507 ","8.353 ","8.152 ","6.753 ","10.189 ","5.586 ","22.033 ","13.045 ","5.602 ","education"
"      Comoros","0.019 ","1.423 ","2.590 ","2.325 ","5.762 ","6.405 ","6.681 ","7.366 ","7.128 ","7.208 ","6.838 ","8.857 ","9.043 ","6.432 ","6.887 ","7.315 ","7.521 ","10.748 ","11.032 ","11.597 ","12.561 ","12.250 ","education"
"      Congo","0.362 ","0.088 ","3.981 ","1.177 ","16.361 ","16.790 ","17.459 ","25.566 ","20.665 ","20.912 ","19.042 ","20.904 ","30.054 ","17.187 ","15.838 ","14.480 ","17.857 ","14.323 ","13.228 ","13.746 ","13.520 ","13.018 ","education"
"      Côte d'Ivoire","18.034 ","16.213 ","47.179 ","55.538 ","49.363 ","44.575 ","31.436 ","41.689 ","35.279 ","35.750 ","25.392 ","34.245 ","33.574 ","16.422 ","16.750 ","21.438 ","18.917 ","19.384 ","19.584 ","21.602 ","38.243 ","28.306 ","education"
"      Democratic Republic of the Congo","5.701 ","2.386 ","3.321 ","10.790 ","11.009 ","13.105 ","13.794 ","27.118 ","25.597 ","32.309 ","38.325 ","28.700 ","51.993 ","56.533 ","87.211 ","61.313 ","51.544 ","76.818 ","81.129 ","44.990 ","130.259 ","45.126 ","education"
"      Djibouti","0.105 ","2.189 ","18.164 ","20.746 ","24.906 ","17.945 ","18.313 ","21.036 ","25.271 ","17.111 ","14.254 ","29.466 ","24.183 ","10.063 ","9.847 ","15.557 ","10.527 ","10.391 ","9.679 ","14.295 ","6.795 ","15.954 ","education"
"      Equatorial Guinea","0.213 ","0.007 ","9.217 ","11.106 ","8.246 ","9.957 ","7.495 ","7.248 ","8.422 ","8.444 ","8.402 ","7.712 ","8.925 ","1.778 ","4.526 ","14.028 ","8.230 ","7.333 ","2.127 ","1.174 ","1.107 ","1.055 ","education"
"      Eritrea","10.415 ","14.937 ","8.240 ","12.000 ","8.485 ","62.701 ","6.388 ","5.823 ","16.060 ","1.909 ","1.218 ","1.974 ","1.280 ","0.769 ","1.239 ","1.899 ","2.964 ","2.174 ","1.511 ","2.706 ","6.142 ","1.282 ","education"
"      Ethiopia","11.599 ","54.539 ","48.148 ","30.583 ","37.600 ","62.668 ","38.327 ","60.883 ","118.557 ","78.987 ","38.160 ","248.852 ","69.445 ","111.090 ","380.587 ","115.413 ","168.975 ","233.680 ","131.104 ","170.183 ","145.259 ","98.807 ","education"
"      Gabon","3.045 ","2.317 ","17.013 ","16.199 ","23.382 ","24.702 ","23.566 ","24.000 ","24.182 ","25.647 ","18.362 ","27.044 ","25.850 ","23.608 ","22.592 ","37.550 ","26.678 ","23.531 ","22.719 ","20.922 ","18.366 ","185.998 ","education"
