"Recipient","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","type"
"    North & Central America, Total","204.069 ","156.817 ","220.817 ","149.145 ","211.120 ","103.498 ","70.378 ","195.587 ","106.967 ","83.907 ","213.496 ","180.878 ","94.840 ","107.403 ","76.313 ","127.095 ","262.981 ","274.889 ","145.329 ","95.988 ","79.214 ","177.809 ","health"
"      Anguilla","0.081 ",,,"0.441 ",,"0.072 ","0.304 ",,"0.980 ","0.010 ","0.406 ",,,,,,,,"0.003 ",,,,"health"
"      Antigua and Barbuda",,,,"2.910 ","2.340 ",,,,"0.020 ","0.024 ","0.002 ","0.020 ",,"0.013 ","0.020 ","0.027 ",,"0.136 ",,"0.094 ","0.011 ",,"health"
"      Aruba",,,,,,,,,,,,,,,,,,,,,,,"health"
"      Bahamas",,,,,,,,,,,,,,,,,,,,,,,"health"
"      Barbados","0.056 ",,,,,,,,,"0.006 ","0.002 ","0.008 ",,,"0.004 ","0.056 ",,,,,,,"health"
"      Belize",,,,,,,"0.155 ",,,"0.035 ","0.188 ","0.248 ","0.143 ","0.118 ","0.082 ","0.704 ","0.528 ","0.457 ","8.886 ","1.588 ","1.365 ","1.430 ","health"
"      Bermuda",,,,,,,,,,,,,,,,,,,,,,,"health"
"      British Virgin Islands",,,,,,,,,,,,,,,,,,,,,,,"health"
"      Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,"health"
"      Costa Rica","0.315 ","0.403 ","28.754 ","0.398 ","0.652 ","3.681 ","0.442 ","17.713 ","1.696 ","1.063 ","1.674 ","2.310 ","0.399 ","2.052 ","1.302 ","1.466 ","0.651 ","0.490 ","0.180 ","0.356 ","0.372 ","0.431 ","health"
"      Cuba","0.877 ","0.431 ","2.542 ","2.293 ","5.751 ","4.624 ","6.746 ","5.476 ","7.034 ","4.136 ","2.179 ","2.895 ","1.643 ","3.857 ","2.780 ","4.600 ","2.771 ","1.417 ","3.035 ","1.814 ","2.469 ","13.378 ","health"
"      Dominica",,,"0.539 ","0.355 ",,,,,"0.049 ","0.060 ","0.055 ","0.109 ","0.091 ","0.122 ","0.111 ","0.162 ","0.372 ","0.045 ","0.137 ",,"0.196 ",,"health"
"      Dominican Republic","7.014 ","16.072 ","4.718 ","39.037 ","22.809 ","4.042 ","2.707 ","7.890 ","15.435 ","3.480 ","13.277 ","10.051 ","5.588 ","5.822 ","5.611 ","20.992 ","5.576 ","3.102 ","3.408 ","1.951 ","1.453 ","5.563 ","health"
"      El Salvador","24.193 ","10.973 ","18.259 ","16.311 ","8.482 ","12.163 ","15.805 ","24.069 ","10.873 ","8.704 ","25.959 ","21.504 ","8.256 ","8.899 ","5.609 ","9.645 ","4.142 ","3.665 ","9.766 ","5.166 ","2.199 ","2.164 ","health"
"      Grenada",,,"0.219 ","0.158 ",,,,,,"0.111 ","0.002 ",,,,,,"0.008 ","0.237 ",,"0.020 ","0.127 ","0.005 ","health"
"      Guatemala","9.626 ","9.895 ","102.269 ","31.853 ","28.925 ","15.982 ","5.467 ","33.892 ","20.790 ","4.767 ","33.030 ","31.335 ","8.371 ","12.796 ","12.915 ","15.745 ","33.387 ","21.902 ","47.807 ","20.219 ","13.083 ","36.606 ","health"
"      Haiti","117.098 ","9.824 ","22.145 ","18.696 ","24.891 ","17.879 ","9.263 ","2.683 ","2.839 ","7.152 ","24.162 ","42.289 ","5.399 ","17.733 ","8.220 ","24.117 ","103.557 ","188.140 ","25.012 ","30.853 ","38.571 ","54.574 ","health"
"      Honduras","7.497 ","34.989 ","12.618 ","10.132 ","47.119 ","4.735 ","5.380 ","34.169 ","13.379 ","6.543 ","16.368 ","14.161 ","37.624 ","7.917 ","15.318 ","22.356 ","42.010 ","41.107 ","9.347 ","8.167 ","4.986 ","14.123 ","health"
